Designator,Mid X,Mid Y,Rotation,Layer
C1,166.0,-101.75,0.0,top
C10,186.5,-101.25,180.0,top
C11,186.5,-103.5,180.0,top
C12,120.75,-102.5,0.0,top
C13,120.75,-97.75,0.0,top
C14,143.5,-97.0,270.0,top
C2,166.0,-96.75,0.0,top
C3,180.0,-96.75,0.0,top
C5,176.5,-96.75,180.0,top
C6,180.0,-107.5,0.0,top
C7,176.4,-107.5,180.0,top
C8,132.75,-101.0,0.0,top
C9,186.5,-99.0,180.0,top
J1,110.275,-107.0,90.0,top
J2,118.275,-107.0,90.0,top
J3,168.985,-106.5,90.0,top
J4,158.97,-106.5,90.0,top
J5,138.105,-105.735,270.0,top
R1,175.0,-104.5,270.0,top
R2,184.25,-107.5,180.0,top
RV1,150.75,-86.875,0.0,top
U1,180.0,-102.5,0.0,top
U2,190.5,-100.55,90.0,top
U3,159.25,-99.25,0.0,top
U4,112.21,-100.0,180.0,top
